pl_controv_flag,pl_name,hostname,pl_letter,sy_snum,discoverymethod,disc_year,pl_radj,pl_massj,st_spectype,st_rad,st_mass,st_met,st_lum,st_teff,st_rad.1
0,LTT 1445 A c,LTT 1445 A,c,3,Transit,2022,0.10232866,0.00484538186670017,M3.0,0.265,0.257,-0.34,-2.04591,3340.0,0.265
0,TOI-1246 d,TOI-1246,d,1,Transit,2022,0.3061293,0.0169903000520655,K V,0.8649,0.8889,0.168,-0.30103,5213.0,0.8649
0,Kepler-18 c,Kepler-18,c,1,Transit,2011,0.49,0.054,,1.108,0.972,0.19,-0.031,5345.0,1.108
0,Kepler-504 b,Kepler-504,b,2,Transit,2016,0.1418503,,,0.33,0.33,-0.31,-1.57681,3519.0,0.33
0,TOI-622 b,TOI-622,b,1,Transit,2023,0.824,0.303,F6 V,1.415,1.313,0.09,0.47407,6400.0,1.415
0,TOI-969 b,TOI-969,b,1,Transit,2022,0.2466772,0.0286318019395919,K V,0.671,0.734,0.175,-0.70042,4435.0,0.671
0,Kepler-277 b,Kepler-277,b,1,Transit,2013,0.261,0.275,,1.69,1.12,0.09,0.56791,5946.0,1.69
0,TOI-1739 b,TOI-1739,b,1,Transit,2024,0.17361079,,,0.781,0.78,0.07,-0.52433,4814.0,0.781
0,HD 105779 b,HD 105779,b,1,Radial Velocity,2022,1.26,,G2,0.94,0.89,-0.25,-0.10791,5792.0,0.94
0,TOI-500 c,TOI-500,c,1,Radial Velocity,2022,0.187,,K6 V,0.678,0.74,0.12,-0.70002,4440.0,0.678
0,Kepler-814 b,Kepler-814,b,1,Transit,2016,0.18913373,,,1.22,1.15,0.01,0.66937,6162.0,1.22
0,TOI-663 b,TOI-663,b,1,Transit,2024,0.20251618,0.0140012657836466,M1 V,0.512,0.514,0.07,-1.37033,3681.0,0.512
0,Kepler-798 b,Kepler-798,b,1,Transit,2016,0.21322152,,,1.29,1.19,0.03,0.22222,6224.0,1.29
0,HD 69123 b,HD 69123,b,1,Radial Velocity,2022,1.17,3.09,K1 III,7.72,1.68,0.05,1.46997,4842.0,7.72
0,TOI-2184 b,TOI-2184,b,1,Transit,2022,1.017,0.65,,2.9,1.53,0.14,0.98154,5966.0,2.9
0,TOI-1268 b,TOI-1268,b,1,Transit,2022,0.81184902,0.303308319447984,K1-K2,0.92,0.96,0.36,-0.28785,5300.0,0.92
0,TOI-500 d,TOI-500,d,1,Radial Velocity,2022,0.567,,K6 V,0.678,0.74,0.12,-0.70002,4440.0,0.678
0,TOI-663 d,TOI-663,d,1,Transit,2024,0.17129122,0.0163610296797668,M1 V,0.512,0.514,0.07,-1.37033,3681.0,0.512
0,Kepler-280 b,Kepler-280,b,1,Transit,2014,0.129,,,0.886,0.962,0.1213,-0.06437,5744.0,0.886
0,TOI-1386 b,TOI-1386,b,1,Transit,2024,0.55458981,0.144102915256408,G5V,1.0235,1.0363,0.149,0.0103,5735.0,1.0235
0,TOI-260 b,TOI-260,b,1,Transit,2024,0.15255624,0.013309068374118,K8 V,0.607,0.616,-0.47,-1.05899,4026.0,0.607
0,TOI-669 b,TOI-669,b,1,Transit,2023,0.23071365,0.0314635186149361,,0.9882,0.9245,0.001,-0.06248,5597.0,0.9882
0,TOI-1408 b,TOI-1408,b,1,Transit,2023,2.23035445,1.86578665386571,F8 V,1.53,1.312,0.25,0.47129,6117.0,1.53
0,TOI-1416 b,TOI-1416,b,1,Transit,2023,0.14452697,0.0109493044779978,G9 V,0.793,0.798,0.08,-0.46008,4884.0,0.793
0,HD 93385 d,HD 93385,d,1,Radial Velocity,2021,0.258,,G2/G3 V,1.18484,1.04,0.02,0.20683,5977.0,1.18484
0,TOI-206 b,TOI-206,b,1,Transit,2022,0.11597843,,,0.35,0.35,,-1.83581,3383.0,0.35
0,Gaia-1 b,Gaia-1,b,1,Transit,2022,1.229,1.68,,0.952,0.949,,-0.1588,5470.0,0.952
0,Kepler-410 A b,Kepler-410 A,b,2,Transit,2013,0.253,,,1.352,1.214,0.01,0.435,6273.0,1.352
0,Kepler-279 c,Kepler-279,c,1,Transit,2013,0.384,0.155,,1.07,1.1,-0.1141,0.5188,6689.45,1.07
0,TOI-1107 b,TOI-1107,b,1,Transit,2022,1.3,3.35,F6 V,1.81,1.35,-0.1,0.67117,6311.0,1.81
0,TOI-1136 f,TOI-1136,f,1,Transit,2022,0.33329657,0.0305196130564881,,0.968,1.022,0.07,-0.02687,5770.0,0.968
0,TOI-1782.01,TOI-1782,c,1,Transit,2024,0.21125917,,,0.669,0.68,,-0.84649,4336.0,0.669
0,HD 154088 b,HD 154088,b,1,Radial Velocity,2021,0.219,,K0 IV-V,0.95,0.91,0.28,-0.13077,5374.0,0.95
0,Kepler-286 b,Kepler-286,b,1,Transit,2014,0.111,,,0.863,0.83,-0.25,-0.11623,5580.0,0.863
0,TOI-1173 b,TOI-1173,b,2,Transit,2024,0.8198783,0.086210041004925,G9,0.934,0.911,0.139,-0.16877,5350.0,0.934
0,TOI-1443 b,TOI-1443,b,1,Transit,2024,0.20553252,0.0943905558448084,,0.7511,0.7663,-0.294,-0.42022,5224.0,0.7511
0,TOI-2445 b,TOI-2445,b,1,Transit,2022,0.11151772,,,0.27,0.25,,-2.08408,3333.0,0.27
